1:1	ቃለ፡ በረከት፡ ዘሄኖክ፡ በከመ፡ ባረከ፡ ኅሩያነ፡ ወጻድቃነ፡ እለ፡ ሀለዉ፡ ይኩኑ፡ በዕለተ፡ ምንዳቤ፡ ለአሰስሎ፡ ኵሉ፡ እኩያን፡ ወረሲዓን።
89:36	ወርኢኩ፡ በህየ፡ ራእይ፡ እስከ፡ ውእቱ፡ በግዕ፡ ኮነ፡ ብእሴ፡ ወሐነጸ፡ ቤተ፡ ለእግዚአ፡ አባግዕ፡ ወለኵሎሙ፡ አባግዕ፡ አቀሞሙ፡ በውእቱ፡ ቤት።
89:37	ወርኢኩ፡ እስከ፡ ሰከበ፡ ውእቱ፡ በግዕ፡ ዘተራከቦ፡ ለዝኩ፡ በግዕ፡ ዘመርሖሙ፡ ለአባግዕ፡ ወርኢኩ፡ እስከ፡ ተሀጕሉ፡ ኵሎሙ፡ አባግዕ፡ ዐቢያን፡ ወንኡሳን፡ ተንሥኡ፡ ህየንቴሆሙ፡ ወቦኡ፡ ውስተ፡ መርዔት፡ ወቀርቡ፡ ኀበ፡ ፈለገ፡ ማይ።
89:38	ወዝኩ፡ በግዕ፡ ዘይመርሖሙ፡ ወዘኮነ፡ ብእሴ፡ ተሌለየ፡ እምኔሆሙ፡ ወሰከበ፡ ወኵሎሙ፡ አባግዕ፡ ኀሠሥዎ፡ ወጸርሑ፡ ዲቤሁ፡ ዐቢየ፡ ጽራሐ።
89:39	ወርኢኩ፡ እስከ፡ አርመሙ፡ እምጽራሑ፡ ለዝኩ፡ በግዕ፡ ወኀለፍዎ፡ ለዝኩ፡ ውሒዘ፡ ማይ፡ ወቆሙ፡ አባግዕ፡ ኵሎሙ፡ እለ፡ ይመርሕዎሙ፡ ተክሎሙ፡ ለእለ፡ ሰከቡ፡ ወመርሕዎሙ።
89:40	ወርኢኩ፡ አባግዕ፡ እስከ፡ ይበውኡ፡ ውስተ፡ መካን፡ ሠናይ፡ ወምድር፡ ሐዋዝ፡ ወስብሕት፡ ወርኢኩ፡ እልኩ፡ አባግዕ፡ እስከ፡ ጸግቡ፡ ወውእቱ፡ ቤት፡ ማእከሎሙ፡ በምድር፡ ሐዋዝ።
89:41	ወቦ፡ ሶበ፡ ይትከሠታ፡ አዕይንቲሆሙ፡ ወቦ፡ ኀበ፡ ይጼለሉ፡ እስከ፡ ተንሥአ፡ ካልእ፡ በግዕ፡ ወመርሖሙ፡ ወአግብኦሙ፡ ለኵሎሙ፡ ወተከሥታ፡ አዕይንቲሆሙ።
89:42	ወአኀዙ፡ አክላብ፡ ወቈናጽል፡ ወሐራውያ፡ ሐቅል፡ ይብልዕዎሙ፡ ለእልኩ፡ አባግዕ፡ እስከ፡ ተንሥአ፡ ካልእ፡ በግዕ፡ አሐዱ፡ እምኔሆሙ፡ ሐርጌ፡ ዘይመርሖሙ።
89:43	ወዝኩ፡ ሐርጌ፡ አኀዘ፡ ይውጋእ፡ እም፡ ዝየ፡ ወእም፡ ዝየ፡ እልክተ፡ አክላበ፡ ወቈናጽለ፡ ወሐራውያ፡ ገዳም፡ እስከ፡ ለኵሎሙ፡ አህጐሎሙ።
89:44	ወውእቱ፡ በግዕ፡ ተፈትሐ፡ አዕይንቲሁ፡ ወርእየ፡ ዝኰ፡ ሐርጌ፡ ዘማእከለ፡ አባግዕ፡ ዘኀደገ፡ ስብሐቶ፡ ወአኀዘ፡ ይጕድኦሙ፡ ለእሙንቱ፡ አባግዕ፡ ወኬዶሙ፡ ወሖረ፡ ዘእንበለ፡ ተድላ።
89:45	ወእግዚኦሙ፡ ለአባግዕ፡ ፈነዎ፡ ለበግዕ፡ ኀበ፡ ካልእ፡ በግዕ፡ ወአንሥኦ፡ ከመ፡ ይኩን፡ ሐርጌ፡ ወይምርሖሙ፡ ለአባግዕ፡ ህየንተ፡ ዝኩ፡ በግዕ፡ ዘኀደገ፡ ስብሐቶ።
89:46	ወሖረ፡ ኀቤሁ፡ ወተናገሮ፡ ለባሕቲቱ፡ ወአንሥኦ፡ ለውእቱ፡ ሐርጌ፡ ወገብሮ፡ መኰንነ፡ ወመራሔ፡ ለአባግዕ፡ ወበኵሉ፡ ዝ፡ እልክቱ፡ አክላብ፡ ያጽሕብዎሙ፡ ለአባግዕ።
89:47	ወሐርጌ፡ ቀዳማዊ፡ ሰደዶ፡ ለዝኩ፡ ሐርጌ፡ ደኃራዊ፡ ወተንሥአ፡ ዝኩ፡ ሐርጌ፡ ደኃራዊ፡ ወነፍጸ፡ እምቅድመ፡ ገጹ፡ ወርኢኩ፡ እስከ፡ አውደቅዎ፡ እልኩ፡ አክላብ፡ ለሐርጌ፡ ቀዳማዊ።
89:48	ወተንሥአ፡ ዝኩ፡ ሐርጌ፡ ደኃራዊ፡ ወመርሖሙ፡ ለአባግዕ፡ ንኡሳን፡ ወዝ፡ ሐርጌ፡ ደኃራዊ፡ ወለደ፡ አባግዐ፡ ብዙኃነ፡ ወሰከበ፡ ወበግዕ፡ ንኡስ፡ ኮነ፡ ሐርጌ፡ ህየንቴሁ፡ ወኮነ፡ መኰንነ፡ ወመራሔ፡ ለእልክቱ፡ አባግዕ።
89:49	ወልህቁ፡ ወበዝኁ፡ እልክቱ፡ አባግዕ፡ ወኵሎሙ፡ እልክቱ፡ አክላብ፡ ወቈናጽል፡ ወሐራውያ፡ ገዳም፡ ፈርሁ፡ ወነፍጹ፡ እምኔሁ፡ ወውእቱ፡ ሐርጌ፡ ጐድአ፡ ወቀተለ፡ ኵሎ፡ አራዊተ፡ ወኢክህሉ፡ ዳግመ፡ እልኩ፡ አራዊት፡ ማእከለ፡ አባግዕ፡ ወኢምንተኒ፡ ግሙራ፡ ኢመሠጡ፡ እምኔሆሙ።
89:50	ወዝኩ፡ ቤት፡ ኮነ፡ ዐቢየ፡ ወርኂበ፡ ወተሐንጸ፡ ለእልኩ፡ አባግዕ፡ ማኅፈድ፡ ነዊኅ፡ ዲበ፡ ዝኩ፡ ቤት፡ ለእግዚአ፡ አባግዕ፡ ወተትሕተ፡ ዝኩ፡ ቤት፡ ወማኅፈድሰ፡ ተለዐለ፡ ወኮነ፡ ነዊኀ፡ ወእግዚአ፡ አባግዕ፡ ቆመ፡ ዲበ፡ ውእቱ፡ ማኅፈድ፡ ወማእደ፡ ምልእተ፡ አቅረቡ፡ በቅድሜሁ።
89:51	ወርኢክዎሙ፡ ካዕበ፡ ለእልክቱ፡ አባግዕ፡ ካዕበ፡ ከመ፡ ስሕቱ፡ ወሖሩ፡ በብዙኅ፡ ፍናዋት፡ ወኀደጉ፡ ዝኰ፡ ቤተ፡ ዚኣሆሙ፡ ወእግዚኦሙ፡ ለአባግዕ፡ ጸውዐ፡ እምውስቴቶሙ፡ ለአባግዕ፡ ወለአኮሙ፡ ኀበ፡ አባግዕ፡ ወአባግዕ፡ አኀዙ፡ ይቅትልዎሙ።
89:52	ወአሐዱ፡ እምኔሆሙ፡ ድኅነ፡ ወኢተቀትለ፡ ወቀነጸ፡ ወጸርሐ፡ ዲበ፡ አባግዕ፡ ወፈቀዱ፡ ይቅትልዎ፡ ወእግዚኦሙ፡ ለአባግዕ፡ አድኀኖ፡ እምእዴሆሙ፡ ለአባግዕ፡ ወአዕረጎ፡ ኀቤየ፡ ወአንበሮ።
89:53	ወካልኣነ፡ አባግዐ፡ ብዙኃነ፡ ፈነወ፡ ኀቤሆሙ፡ ለእልኩ፡ አባግዕ፡ ያስምዑ፡ ወየዐውይዉ፡ ዲቤሆሙ።
89:54	ወእምኔሁ፡ ርኢኩ፡ ሶበ፡ ኀደጉ፡ ቤቶ፡ ለእግዚአ፡ አባግዕ፡ ወማኅፈደ፡ ወእምኵሉ፡ ስሕቱ፡ ወተጸለለ፡ አዕይንቲሆሙ፡ ወርኢኩ፡ እግዚአ፡ አባግዕ፡ ከመ፡ ገብረ፡ ቀትለ፡ ብዙኀ፡ ዲቤሆሙ፡ በበ፡ መራዕይሆሙ፡ እስከ፡ ይጼውዕዎ፡ እልኩ፡ አባግዕ፡ ለዝኩ፡ ቀትል፡ ወአግብኡ፡ መካኖ።
89:55	ወኀደጎሙ፡ ውስተ፡ እደ፡ አናብስት፡ ወአናምርት፡ ወአዝእብት፡ ወአጽእብት፡ ወውስተ፡ እደ፡ ቈናጽል፡ ወዲበ፡ ኵሉ፡ አራዊት፡ ወአኀዙ፡ እልክቱ፡ አራዊተ፡ ገዳም፡ ይምሥጥዎሙ፡ ለእልኩ፡ አባግዕ።
89:56	ወርኢኩ፡ ከመ፡ ኀደጉ፡ ዝኰ፡ ቤተ፡ ዚኣሆሙ፡ ወማኅፈዶሙ፡ ወወደዮሙ፡ ለኵሎሙ፡ ውስተ፡ እደ፡ አናብስት፡ ከመ፡ ይምሥጥዎሙ፡ ወከመ፡ ይብልዕዎሙ፡ ውስተ፡ እደዊሆሙ፡ ለኵሎሙ፡ አራዊት።
89:57	ወአነ፡ አኀዝኩ፡ እጽራሕ፡ በኵሉ፡ ኀይልየ፡ ወእጸውዖ፡ ለእግዚአ፡ አባግዕ፡ ወኣርእዮ፡ በእንተ፡ አባግዕ፡ እስመ፡ ተበልዑ፡ ወተውኅጡ፡ እምኵሎሙ፡ አራዊተ፡ ገዳም።
89:58	ወውእቱ፡ አርመመ፡ እንዘ፡ ይሬኢ፡ ወተፈሥሐ፡ እስመ፡ ተበልዑ፡ ወተውኅጡ፡ ወተሀይዱ፡ ወኀደጎሙ፡ ውስተ፡ እደ፡ ኵሎሙ፡ አራዊት፡ ለመብልዕ።
89:59	ወጸውዐ፡ ሰብዐ፡ ኖላውያነ፡ ወገደፎሙ፡ ለእልኩ፡ አባግዕ፡ ከመ፡ ይርዐይዎሙ፡ ወይቤሎሙ፡ ለኖላውያን፡ ወለፀማዶሙ፡ ኵሉ፡ አሐዱ፡ አሐዱ፡ እምኔክሙ፡ እምይእዜ፡ ይርዐይዎሙ፡ ለአባግዕ፡ ወኵሎ፡ ዘእኤዝዘክሙ፡ አነ፡ ግበሩ።
89:60	ወእሜጥወክሙ፡ አነ፡ በኍልቍ፡ ወእነግረክሙ፡ ዘይትሀጐል፡ እምኔሆሙ፡ ወኪያሆሙ፡ አህጕሉ፡ ወመጠወ፡ ሎሙ፡ እልክተ፡ አባግዐ።
89:61	ወለካልእ፡ ጸውዖ፡ ወይቤሎ፡ ለቡ፡ ወርኢ፡ ኵሎ፡ ዘይገብሩ፡ ኖሎት፡ ዲበ፡ እሉ፡ አባግዕ፡ እስመ፡ ያሀጕሉ፡ እምውስቴቶሙ፡ ፈድፋደ፡ እምዘአዘዝክዎሙ።
89:62	ወኵሎ፡ ጽጋበ፡ ወሀጕለ፡ ዘይትገበር፡ በኖሎት፡ ጸሐፍ፡ ሚ፡ መጠነ፡ ያሀጕልዎሙ፡ በትእዛዝየ፡ ወሚ፡ መጠነ፡ ያሀጕሉ፡ በርእሶሙ፡ ወኵሎሙ፡ ለለ፡ አሐዱ፡ አሐዱ፡ ኖላዊ፡ ጸሐፍ፡ ዲቤሆሙ።
89:63	ወበኍልቍ፡ አንብብ፡ በቅድሜየ፡ ወሚ፡ መጠነ፡ ያሀጕሉ፡ ወሚ፡ መጠነ፡ ይሜጥውዎሙ፡ ለሀጕል፡ ከመ፡ ይኩን፡ ሊተ፡ ዝንቱ፡ ስምዐ፡ ዲቤሆሙ፡ ከመ፡ ኣእምር፡ ኵሎ፡ ግብሮሙ፡ ለኖላውያን፡ ወእመጥዎሙ፡ ወእርአይ፡ ዘይገብሩ፡ ለእመ፡ ይነብሩ፡ በትእዛዝየ፡ ዘአዘዝክዎሙ፡ ወእመ፡ አልቦ።
89:64	ወኢያእምሩ፡ ወኢታርእዮሙ፡ ወኢትዝልፎሙ፡ አላ፡ ጸሐፍ፡ ኵሎ፡ ሀጕሎሙ፡ ለኖላውያን፡ ለለ፡ አሐዱ፡ አሐዱ፡ ወአዕርግ፡ ኀቤየ፡ ኵሎ።
89:65	ወርኢኩ፡ እስከ፡ እልኩ፡ ኖላውያን፡ ይርዕዩ፡ በበ፡ ጊዜሁ፡ ወአኀዙ፡ ይቅትሉ፡ ወያህጕሉ፡ ብዙኃነ፡ እምትእዛዞሙ፡ ወኀደጉ፡ እልክተ፡ አባግዐ፡ ውስተ፡ እደ፡ አናብስት።
89:66	ወበልዑ፡ ወውኅጡ፡ መብዝኅቶሙ፡ ለእልኩ፡ አባግዕ፡ አናብስት፡ ወአናምርት፡ ወሐራውያ፡ ገዳም፡ በልዑ፡ ምስሌሆሙ፡ ወአውዐይዎ፡ ለዝኩ፡ ማኅፈድ፡ ወከረይዎ፡ ለዝኩ፡ ቤት፡ ዘአባግዕ።
89:67	ወሐዘንኩ፡ ብዙኀ፡ ጥቀ፡ በእንተ፡ ማኅፈድ፡ እስመ፡ ተከርየ፡ ውእቱ፡ ቤት፡ ዘአባግዕ፡ ወእምኔሁ፡ ኢክህልኩ፡ ርእዮቶሙ፡ ለእልኩ፡ አባግዕ፡ ለእመ፡ ይበውኡ፡ ኀበ፡ ዝኩ፡ ቤት፡ ወለእመ፡ ኢይበውኡ።
89:68	ወኖላውያን፡ ወፀማዶሙ፡ መጠውዎሙ፡ ለእልኩ፡ አባግዕ፡ ለኵሎሙ፡ አራዊተ፡ ገዳም፡ ከመ፡ ይብልዕዎሙ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ እምኔሆሙ፡ በበ፡ ጊዜሁ፡ በኍልቍ፡ ይትሜጠዉ፡ ወኵሉ፡ አሐዱ፡ አሐዱ፡ እምኔሆሙ፡ ለካልኡ፡ በመጽሐፍ፡ ይጽሕፍ፡ ሚ፡ መጠነ፡ ያሀጕል፡ እምኔሆሙ፡ ለካልኡ፡ በመጽሐፍ።
89:69	ወፈድፋደ፡ እምሥርዐቶሙ፡ አሐደ፡ አሐደ፡ ይቀትል፡ ወያሀጕል፡ ወአነ፡ አኀዝኩ፡ እብኪ፡ ወአዕዊ፡ በብዙኀ፡ ጥቀ፡ በእንተ፡ እልኩ፡ አባግዕ።
89:70	ወከመ፡ ዝ፡ በራእይ፡ ርኢክዎ፡ ለዝኩ፡ ዘይጽሕፍ፡ እፎ፡ ይጽሕፍ፡ ለአሐዱ፡ ዘይትሀጐል፡ እምነ፡ እልኩ፡ ኖላውያን፡ በኵሉ፡ ዕለት፡ ወየዐርግ፡ ወየዐርፍ፡ ወያርኢ፡ ኵሎ፡ ኪያሁ፡ መጽሐፈ፡ ለእግዚአ፡ አባግዕ፡ ኵሎ፡ ዘገብሩ፡ ወኵሎ፡ ዘአእተቱ፡ አሐዱ፡ አሐዱ፡ እምኔሆሙ፡ ወኵሎ፡ ዘመጠዉ፡ ለሀጕል።
89:71	ወመጽሐፍ፡ ተነበ፡ በቅድመ፡ እግዚአ፡ አባግዕ፡ ወነሥኣ፡ ለመጽሐፍ፡ በእዱ፡ ወአንበባ፡ ወኀተማ፡ ወአንበራ።
89:72	ወእምኔሁ፡ ርኢኩ፡ እንዘ፡ ይርዕዩ፡ ኖሎት፡ ዐሠርተ፡ ወክልኤተ፡ ሰዓተ፡ ወናሁ፡ ሠለስቱ፡ እምእልኩ፡ አባግዕ፡ ገብኡ፡ ወመጽኡ፡ ወቦኡ፡ ወአኀዙ፡ እንዘ፡ የሐንጹ፡ ኵሎ፡ ዘወድቀ፡ እምውእቱ፡ ቤት፡ ወሐራውያ፡ ገዳም፡ ከልእዎሙ፡ ወኢክህሉ።
89:73	ወአኀዙ፡ ካዕበ፡ ይሕንጹ፡ ከመ፡ ቀዳሚ፡ ወአንሥእዎ፡ ለውእቱ፡ ማኅፈድ፡ ወይሰመይ፡ ማኅፈደ፡ ነዊኀ፡ ወርኢኩ፡ ካዕበ፡ እንዘ፡ ያነብሩ፡ ቅድመ፡ ማኅፈድ፡ ማእደ፡ ወኵሎ፡ ኅብስት፡ ዘዲቤሁ፡ ርኩስ፡ ወኢኮነ፡ ንጹሐ።
89:74	ወዲበ፡ ኵሉ፡ እሉ፡ አባግዕ፡ ጽሉላን፡ አዕይንቲሆሙ፡ ወኢይሬእዩ፡ ወኖሎቶሙኒ፡ ከማሁ፡ ወይሜጥውዎሙ፡ ለኖሎቶሙሂ፡ ለሀጕል፡ ፈድፋደ፡ ወበእገሪሆሙ፡ ይከይድዎሙ፡ ለአባግዕ፡ ወይበልዕዎሙ።
89:75	ወእግዚአ፡ አባግዕ፡ አርመመ፡ እስከነ፡ ተዘርዘሩ፡ ኵሉ፡ አባግዕ፡ ገዳመ፡ ወተደመሩ፡ ምስሌሆሙ፡ ወኢያድኀንዎሙ፡ እምእደ፡ አራዊት።
89:76	ወዝኩ፡ ዘይጽሕፍ፡ መጽሐፈ፡ አዕረጎ፡ ወአርአዮ፡ ወአንበበ፡ ኀበ፡ አብያተ፡ እግዚአ፡ አባግዕ፡ ወያስተበቍዖ፡ በእንቲኣሆሙ፡ ወይስእሎ፡ እንዘ፡ ያርእዮ፡ ኵሎ፡ ግብረ፡ ኖሎቶሙ፡ ወያሰምዕ፡ በቅድሜሁ፡ ዲበ፡ ኵሉ፡ ኖላውያን።
89:77	ወነሢኦ፡ አንበረ፡ ኀቤሁ፡ ኪያሁ፡ መጽሐፈ፡ ወወፅአ።
90:1	ወርኢኩ፡ እስከ፡ ዘመን፡ ከመ፡ ከመ፡ ዝ፡ ይርዕዩ፡ ሠላሳ፡ ወሰብዐቱ፡ ኖላውያን፡ ወፈጸሙ፡ ኵሎሙ፡ በበ፡ ጊዜሆሙ፡ ከመ፡ ቀዳምያን፡ ወባዕዳን፡ ተመጠውዎሙ፡ ውስተ፡ እደዊሆሙ፡ ከመ፡ ይርዐይዎሙ፡ በበ፡ ጊዜሆሙ፡ ኵሉ፡ ኖላዊ፡ በበ፡ ጊዜሁ።
90:2	ወእም፡ ዝ፡ በራእይ፡ ርኢኩ፡ ኵሉ፡ አዕዋፈ፡ ሰማይ፡ ወመጽኡ፡ አንስርት፡ ወአውስት፡ ወሆባይ፡ ወቋዓት፡ ወአንስርት፡ ይመርሕዎሙ፡ ለኵሎሙ፡ አዕዋፍ፡ ወአኀዙ፡ ይብልዕዎሙ፡ ለእልኩ፡ አባግዕ፡ ወይክርዩ፡ አዕይንቲሆሙ፡ ወይብልዕዎ፡ ለሥጋሆሙ።
90:3	ወአባግዕ፡ ጸርሑ፡ እስመ፡ ተበልዑ፡ ሥጋሆሙ፡ እምነ፡ አዕዋፍ፡ ወአነ፡ ጸራሕኩ፡ ወዐውየውኩ፡ በንዋምየ፡ ዲበ፡ ውእቱ፡ ኖላዊ፡ ዘይርዕዮሙ፡ ለአባግዕ።
90:4	ወርኢኩ፡ እስከ፡ ተበልዑ፡ አባግዕ፡ እምአክላብ፡ ወእምአንስርት፡ ወእምሆባይ፡ ወኢኀደጉ፡ ሎሙ፡ ሥጋ፡ ግሙራ፡ ወኢ፡ ማእሰ፡ ወኢ፡ ሥርወ፡ እስከ፡ ቆሙ፡ ባሕቲቶሙ፡ አዕፅምቲሆሙ፡ ወአዕፅምቲሆሙኒ፡ ወድቁ፡ ዲበ፡ ምድር፡ ወንእሱ፡ አባግዕ።
90:5	ወርኢኩ፡ እስከ፡ ዘመን፡ እስከ፡ ይርዕዩ፡ ዕሥራ፡ ወሠለስቱ፡ ኖላውያን፡ ወፈጸሙ፡ በበ፡ ጊዜሆሙ፡ ኀምሳ፡ ወሰመንተ፡ ጊዜያተ።
90:6	ወንኡሳን፡ መሓስዕት፡ ተወልዱ፡ እምእልኩ፡ አባግዕ፡ ጸዐድው፡ ወአኀዙ፡ ይክሥቱ፡ አዕይንቲሆሙ፡ ወይርአዩ፡ ወይጽርሑ፡ ኀበ፡ አባግዕ።
90:7	ወአባግዕ፡ ኢጸርሕዎሙ፡ ወኢያጽምኡ፡ ዘነገርዎሙ፡ አላ፡ ፈድፋደ፡ ተጸመሙ፡ ወተጸለሉ፡ አዕይንቲሆሙ፡ ፈድፋደ፡ ወኀያለ።
90:8	ወርኢኩ፡ በራእይ፡ ቋዓተ፡ ከመ፡ ሰረሩ፡ ዲበ፡ እልኩ፡ መሓስዕ፡ ወአኀዝዎ፡ ለአሐዱ፡ እምእልኩ፡ መሓስዕ፡ ወቀጥቀጥዎሙ፡ ለአባግዕ፡ ወበልዕዎሙ።
90:9	ወርኢኩ፡ እስከ፡ ወፅአ፡ ሎሙ፡ አቅርንት፡ ለእልኩ፡ መሓስዕ፡ ወቋዓት፡ ያውድቅዎሙ፡ ለአቅርንቲሆሙ፡ ወርኢኩ፡ እስከ፡ በቈለ፡ አሐዱ፡ ቀርን፡ ዐቢይ፡ አሐዱ፡ እምነ፡ እልኩ፡ አባግዕ፡ ወተከሥታ፡ አዕይንቲሆሙ።
90:10	ወርእየ፡ ቦሙ፡ ወተፈትሑ፡ አዕይንቲሆሙ፡ ወጸርሐ፡ ሎሙ፡ ለአባግዕ፡ ወዳቤላት፡ ርእይዎ፡ ወሮጹ፡ ኀቤሁ፡ ኵሎሙ።
90:11	ወምስለ፡ ዝ፡ ኵሉ፡ እልኩ፡ አንስርት፡ ወአውስት፡ ወቋዓት፡ ወሆባይ፡ እስከ፡ ይመሥጥዎሙ፡ ለአባግዕ፡ ወይሰርሩ፡ ዲቤሆሙ፡ ወይበልዕዎሙ፡ ወአባግዕሰ፡ ያረምሙ፡ ወዳቤላት፡ የዐወይዉ፡ ወይጸርሑ።
90:12	ወእልክቱ፡ ቋዓት፡ ይትጋደሉ፡ ወይትባአሱ፡ ምስሌሁ፡ ወፈቀዱ፡ ያእትቱ፡ ቀርኖ፡ ወኢክህልዎ።
90:13	ወርኢክዎሙ፡ እስከ፡ መጽኡ፡ ኖላውያን፡ ወአንስርት፡ ወእልኩ፡ አንስርት፡ ወሆባይ፡ ወጸርሑ፡ ቋዓት፡ ከመ፡ ይቀጥቅጥዎ፡ ለቀርነ፡ ዝኩ፡ ዳቤላ፡ ወተባአሱ፡ ምስሌሁ፡ ወተቃተሉ፡ ወውእቱ፡ ይትበአስ፡ ምስሌሆሙ፡ ወጸርሐ፡ ከመ፡ ትምጽኦ፡ ረድኤቱ።
90:14	ወርኢኩ፡ እስከ፡ መጽአ፡ ዝኩ፡ ብእሲ፡ ዘጸሐፈ፡ አስማቲሆሙ፡ ለኖሎት፡ ወየዐርግ፡ ቅድሜሁ፡ ለእግዚአ፡ አባግዕ፡ ወውእቱ፡ ረድኦ፡ ወአርአዮ፡ ኵሎ፡ ወወረደ፡ ረድኤቱ፡ ለዝኩ፡ ዳቤላ።
90:15	ወርኢኩ፡ እስከ፡ መጽአ፡ ኀቤሆሙ፡ ዝኩ፡ እግዚአ፡ አባግዕ፡ በመዓት፡ ወእለ፡ ርእይዎ፡ ኵሎሙ፡ ነፍጹ፡ ወወድቁ፡ ኵሎሙ፡ ውስተ፡ ጽላሎት፡ እምቅድመ፡ ገጹ።
90:16	ወኵሎሙ፡ አንስርት፡ ወአውስት፡ ወቋዓት፡ ወሆባይ፡ ተጋብኡ፡ ወአምጽኡ፡ ምስሌሆሙ፡ ኵሎ፡ አባግዐ፡ ገዳም፡ ወመጽኡ፡ ኵሎሙ፡ ኅቡረ፡ ወተራድኡ፡ ከመ፡ ይቀጥቅጥዎ፡ ለዝኩ፡ ቀርነ፡ ዳቤላ።
90:17	ወርኢክዎ፡ ለዝኩ፡ ብእሲ፡ ዘይጽሕፍ፡ መጽሐፈ፡ በቃለ፡ እግዚእ፡ እስከ፡ ፈትሖ፡ ለውእቱ፡ መጽሐፈ፡ ሀጕል፡ ዘአህጐሉ፡ እልኩ፡ ዐሠርቱ፡ ወክልኤቱ፡ ኖሎት፡ ደኃርያን፡ ወአርአየ፡ ከመ፡ ፈድፋደ፡ እምቅድሜሆሙ፡ አህጐሉ፡ በቅድመ፡ እግዚአ፡ አባግዕ።
90:18	ወርኢኩ፡ እስከ፡ መጽአ፡ ኀቤሆሙ፡ እግዚአ፡ አባግዕ፡ ወነሥአ፡ በእዱ፡ በትረ፡ መዓቱ፡ ወዘበጣ፡ ለምድር፡ ወተሠጠት፡ ምድር፡ ወኵሎሙ፡ ወአዕዋፈ፡ ሰማይ፡ ወአራዊት፡ ወድቁ፡ እምእልኩ፡ አባግዕ፡ ወተሰጥሙ፡ በምድር፡ ወተከድነት፡ ዲቤሆሙ።
90:19	ወርኢኩ፡ እስከ፡ ተውህበ፡ ለአባግዕ፡ ሰይፍ፡ ዐቢይ፡ ወወፅኡ፡ አባግዕ፡ ዲበ፡ እሉ፡ አራዊተ፡ ገዳም፡ ከመ፡ ይቅትልዎሙ፡ ወኵሎሙ፡ አራዊት፡ ወአዕዋፈ፡ ሰማይ፡ ነፍጹ፡ እምቅድመ፡ ገጾሙ።
90:20	ወርኢኩ፡ እስከ፡ መንበር፡ ተሐንጸ፡ በምድር፡ ሐዋዝ፡ ወነበረ፡ ዲቤሁ፡ እግዚአ፡ አባግዕ፡ ወነሥአ፡ ኵሎን፡ መጻሕፍተ፡ ኅቱማተ፡ ወፈትሖን፡ ለእማንቱ፡ መጻሕፍት፡ በቅድመ፡ እግዚአ፡ አባግዕ።
90:21	ወጸውዖሙ፡ እግዚእ፡ ለእልኩ፡ ሰብዓቱ፡ ጸዐድው፡ ቀዳማውያን፡ ወአዘዘ፡ ከመ፡ ያምጽኡ፡ ቅድሜሁ፡ እምኮከብ፡ ቀዳማዊ፡ ዘይቀድም፡ እምእልኩ፡ ከዋክብት፡ እለ፡ ኀፍረቶሙ፡ ከመ፡ ኀፍረተ፡ አፍራስ፡ ወለኮከብ፡ ቀዳማዊ፡ ዘወድቀ፡ ቅድመ፡ ወአምጽእዎሙ፡ ለኵሎሙ፡ ቅድሜሁ።
90:22	ወይቤሎ፡ ለዝኩ፡ ብእሲ፡ ዘይጽሕፍ፡ በቅድሜሁ፡ ዘውእቱ፡ አሐዱ፡ እምሰብዐቱ፡ ጸዐድው፡ ወይቤሎ፡ ንሥኦሙ፡ ለእሉ፡ ሰብዓ፡ ኖሎት፡ እለ፡ መጠውክዎሙ፡ አባግዐ፡ ወነሢኦሙ፡ ቀተሉ፡ ብዙኀ፡ እምዘአዘዝክዎሙ፡ እሙንቱ።
90:23	ወናሁ፡ ለኵሎሙ፡ እሱራን፡ ርኢክዎሙ፡ ወቆሙ፡ ቅድሜሁ፡ ኵሎሙ።
90:24	ወኵነኔ፡ ኮነ፡ ቅድመ፡ እምከዋክብት፡ ወተኰነኑ፡ ወኮኑ፡ ኃጥኣነ፡ ወሖሩ፡ መካነ፡ ኵነኔ፡ ወወደይዎሙ፡ ውስተ፡ ዕሙቅ፡ ወምሉእ፡ እሳተ፡ ዘይልህብ፡ ወምሉእ፡ ዐምደ፡ እሳት።
90:25	ወእልክቱ፡ ሰብዓ፡ ኖላውያን፡ ተኰነኑ፡ ወኮኑ፡ ኃጥኣን፡ ወተወድዩ፡ እሙንቱ፡ ውስተ፡ ዝንቱ፡ ማዕምቀ፡ እሳት።
90:26	ወርኢኩ፡ በውእቱ፡ ጊዜ፡ ከመ፡ ተርኅወ፡ አሐዱ፡ ማዕምቅ፡ ከማሁ፡ በማእከለ፡ ምድር፡ ዘምሉእ፡ እሳተ፡ ወአምጽእዎሙ፡ ለእልኩ፡ አባግዕ፡ ጽሉላን፡ ወተኰነኑ፡ ኵሎሙ፡ ወኮኑ፡ ኃጥኣነ፡ ወተወድዩ፡ ውስተ፡ ዝንቱ፡ ዕመቀ፡ እሳት፡ ወውዕዩ፡ ወዝንቱ፡ ማዕምቅ፡ ኮነ፡ በየማኑ፡ ለዝኩ፡ ቤት።
90:27	ወርኢክዎሙ፡ ለእልኩ፡ አባግዕ፡ እንዘ፡ ይውዕዩ፡ ወአዕፅምቲሆሙ፡ ይውዒ።
